Date,Open,High,Low,Close,Volume
2010-12-08,70931.09386192693,73333.39472356082,68709.41712522792,69341.6015625,103
2010-12-09,70768.52698643411,70913.0262758398,69106.78515826874,69901.53125,211
2010-12-10,69648.66021532941,70858.84181139452,68185.60485292233,70461.46875,147
2010-12-13,72737.32222914563,73550.1306474003,71364.57912275997,71563.265625,49
2010-12-14,72141.27113391507,72827.64276713709,71003.33921567856,71671.6484375,38
2010-12-15,70461.4620115656,71491.01939035546,68871.9699179953,69106.78125,33
2010-12-16,68691.35096834546,68691.35096834546,65692.99065786813,66975.421875,36
2010-12-17,67408.91992924528,67697.91851415095,65530.4291273585,67011.546875,8
2010-12-20,68221.73402713359,68637.16952690168,66523.86720199444,68149.484375,18
2010-12-21,68510.739462161,68510.739462161,66975.43420134272,67932.7421875,9
2010-12-22,67986.91411136797,67986.91411136797,66361.29714271145,66415.484375,16
2010-12-23,65927.79635570223,68239.78483064192,65584.61056645337,67390.8515625,11
2010-12-27,67282.48862267577,67282.48862267577,65403.99766515676,66541.9296875,12
2010-12-28,69179.04313499483,70262.78793606526,67968.86144046621,70027.9765625,18
2010-12-29,70768.52975198667,71147.84040149962,69937.6588054345,70461.46875,6
2010-12-30,70822.7039885403,70985.2656656372,69034.52554047464,69449.9609375,13
2010-12-31,70082.17522321429,71418.79402901787,69793.1765625,70804.671875,25
2011-01-03,71761.94733455882,72069.00827205883,68402.33943014705,69088.7109375,28
2011-01-04,67679.84305894414,67860.46713969926,62983.61695931098,65241.41796875,34
2011-01-05,63832.56517888849,64211.87583784624,62116.636007413,63579.69140625,13
2011-01-06,63778.37355402067,63814.49837619797,60021.39204758161,60310.390625,24
2011-01-07,59804.635277018424,62261.122863147844,59696.26082468918,60292.3203125,22
2011-01-10,60563.26970589605,60924.51795943554,59425.33770724665,60599.39453125,12
2011-01-11,62351.43757597969,63146.18359375,61556.69155820938,63146.18359375,20
2011-01-12,63308.75588797373,63507.4424257106,61556.70187338502,62911.3828125,14
2011-01-13,63110.0685293948,63164.25576625461,58034.530676859045,58720.90234375,34
2011-01-14,57691.33680221367,57691.33680221367,55740.596547160734,56300.53125,21
2011-01-18,57781.64265270879,58720.887859942566,57474.581719574664,58179.015625,13
